fromArea,toArea,routeId,openFrom,baseCost,capacityRatio,kind
edo_core,tohoku_rim,osshu_kaido,1603-01,0.06,1.0,road
tohoku_rim,edo_core,osshu_kaido_return,1603-01,0.06,1.0,road
edo_core,osaka_hub,tokaido,1603-01,0.08,1.0,road
osaka_hub,edo_core,tokaido_return,1603-01,0.08,1.0,road
tohoku_rim,osaka_hub,nakasendo_west,1603-01,0.12,0.7,road
osaka_hub,tohoku_rim,nakasendo_east,1603-01,0.12,0.7,road
osaka_hub,edo_core,seto_kitamae,1603-01,0.07,1.15,sea
edo_core,osaka_hub,edo_bay_coast,1603-01,0.075,1.1,sea
edo_core,osaka_hub,tokaido_rail,1872-10,0.035,1.55,rail
osaka_hub,edo_core,tokaido_rail_return,1872-10,0.035,1.55,rail
tohoku_rim,edo_core,tohoku_rail,1891-09,0.04,1.35,rail
edo_core,tohoku_rim,tohoku_rail_return,1891-09,0.04,1.35,rail
edo_core,osaka_hub,tokaido_shinkansen,1964-10,0.02,1.9,rail
osaka_hub,edo_core,tokaido_shinkansen_return,1964-10,0.02,1.9,rail
tohoku_rim,edo_core,tohoku_shinkansen,1982-06,0.022,1.7,rail
edo_core,tohoku_rim,tohoku_shinkansen_return,1982-06,0.022,1.7,rail
osaka_hub,edo_core,meishin_tomei,1969-05,0.03,1.6,highway
edo_core,osaka_hub,tomei_meishin,1969-05,0.03,1.6,highway
