year,market,riceIndex,evidence,sourceNote
1883,edo,1.1417,real_yield_inverse,figshare CC-BY 4.0 rice yield inverse (Buareal et al. 10.6084/m9.figshare.29135699)
1884,edo,1.3234,real_yield_inverse,figshare CC-BY 4.0 rice yield inverse (Buareal et al. 10.6084/m9.figshare.29135699)
1885,edo,1.0362,real_yield_inverse,figshare CC-BY 4.0 rice yield inverse (Buareal et al. 10.6084/m9.figshare.29135699)
1886,edo,0.9560,real_yield_inverse,figshare CC-BY 4.0 rice yield inverse (Buareal et al. 10.6084/m9.figshare.29135699)
1887,edo,0.8942,real_yield_inverse,figshare CC-BY 4.0 rice yield inverse (Buareal et al. 10.6084/m9.figshare.29135699)
1888,edo,0.9567,real_yield_inverse,figshare CC-BY 4.0 rice yield inverse (Buareal et al. 10.6084/m9.figshare.29135699)
1889,edo,1.1494,real_yield_inverse,figshare CC-BY 4.0 rice yield inverse (Buareal et al. 10.6084/m9.figshare.29135699)
1890,edo,0.8518,real_yield_inverse,figshare CC-BY 4.0 rice yield inverse (Buareal et al. 10.6084/m9.figshare.29135699)
1891,edo,0.9748,real_yield_inverse,figshare CC-BY 4.0 rice yield inverse (Buareal et al. 10.6084/m9.figshare.29135699)
1892,edo,0.8898,real_yield_inverse,figshare CC-BY 4.0 rice yield inverse (Buareal et al. 10.6084/m9.figshare.29135699)
1893,edo,1.0087,real_yield_inverse,figshare CC-BY 4.0 rice yield inverse (Buareal et al. 10.6084/m9.figshare.29135699)
1894,edo,0.8721,real_yield_inverse,figshare CC-BY 4.0 rice yield inverse (Buareal et al. 10.6084/m9.figshare.29135699)
1895,edo,0.9438,real_yield_inverse,figshare CC-BY 4.0 rice yield inverse (Buareal et al. 10.6084/m9.figshare.29135699)
1896,edo,1.0332,real_yield_inverse,figshare CC-BY 4.0 rice yield inverse (Buareal et al. 10.6084/m9.figshare.29135699)
1897,edo,1.1164,real_yield_inverse,figshare CC-BY 4.0 rice yield inverse (Buareal et al. 10.6084/m9.figshare.29135699)
1898,edo,0.7982,real_yield_inverse,figshare CC-BY 4.0 rice yield inverse (Buareal et al. 10.6084/m9.figshare.29135699)
1899,edo,0.9629,real_yield_inverse,figshare CC-BY 4.0 rice yield inverse (Buareal et al. 10.6084/m9.figshare.29135699)
1900,edo,0.9227,real_yield_inverse,figshare CC-BY 4.0 rice yield inverse (Buareal et al. 10.6084/m9.figshare.29135699)
1901,edo,0.8159,real_yield_inverse,figshare CC-BY 4.0 rice yield inverse (Buareal et al. 10.6084/m9.figshare.29135699)
1902,edo,1.0457,real_yield_inverse,figshare CC-BY 4.0 rice yield inverse (Buareal et al. 10.6084/m9.figshare.29135699)
1903,edo,0.8215,real_yield_inverse,figshare CC-BY 4.0 rice yield inverse (Buareal et al. 10.6084/m9.figshare.29135699)
1904,edo,0.7380,real_yield_inverse,figshare CC-BY 4.0 rice yield inverse (Buareal et al. 10.6084/m9.figshare.29135699)
1905,edo,0.9958,real_yield_inverse,figshare CC-BY 4.0 rice yield inverse (Buareal et al. 10.6084/m9.figshare.29135699)
1906,edo,0.8386,real_yield_inverse,figshare CC-BY 4.0 rice yield inverse (Buareal et al. 10.6084/m9.figshare.29135699)
1907,edo,0.7956,real_yield_inverse,figshare CC-BY 4.0 rice yield inverse (Buareal et al. 10.6084/m9.figshare.29135699)
1908,edo,0.7576,real_yield_inverse,figshare CC-BY 4.0 rice yield inverse (Buareal et al. 10.6084/m9.figshare.29135699)
1909,edo,0.7479,real_yield_inverse,figshare CC-BY 4.0 rice yield inverse (Buareal et al. 10.6084/m9.figshare.29135699)
1910,edo,0.8448,real_yield_inverse,figshare CC-BY 4.0 rice yield inverse (Buareal et al. 10.6084/m9.figshare.29135699)
1911,edo,0.7666,real_yield_inverse,figshare CC-BY 4.0 rice yield inverse (Buareal et al. 10.6084/m9.figshare.29135699)
1912,edo,0.7863,real_yield_inverse,figshare CC-BY 4.0 rice yield inverse (Buareal et al. 10.6084/m9.figshare.29135699)
1913,edo,0.8003,real_yield_inverse,figshare CC-BY 4.0 rice yield inverse (Buareal et al. 10.6084/m9.figshare.29135699)
1914,edo,0.7016,real_yield_inverse,figshare CC-BY 4.0 rice yield inverse (Buareal et al. 10.6084/m9.figshare.29135699)
1915,edo,0.7313,real_yield_inverse,figshare CC-BY 4.0 rice yield inverse (Buareal et al. 10.6084/m9.figshare.29135699)
1916,edo,0.6939,real_yield_inverse,figshare CC-BY 4.0 rice yield inverse (Buareal et al. 10.6084/m9.figshare.29135699)
1917,edo,0.7465,real_yield_inverse,figshare CC-BY 4.0 rice yield inverse (Buareal et al. 10.6084/m9.figshare.29135699)
1918,edo,0.7510,real_yield_inverse,figshare CC-BY 4.0 rice yield inverse (Buareal et al. 10.6084/m9.figshare.29135699)
1919,edo,0.6737,real_yield_inverse,figshare CC-BY 4.0 rice yield inverse (Buareal et al. 10.6084/m9.figshare.29135699)
1920,edo,0.6590,real_yield_inverse,figshare CC-BY 4.0 rice yield inverse (Buareal et al. 10.6084/m9.figshare.29135699)
1921,edo,0.7550,real_yield_inverse,figshare CC-BY 4.0 rice yield inverse (Buareal et al. 10.6084/m9.figshare.29135699)
1922,edo,0.6770,real_yield_inverse,figshare CC-BY 4.0 rice yield inverse (Buareal et al. 10.6084/m9.figshare.29135699)
1923,edo,0.7505,real_yield_inverse,figshare CC-BY 4.0 rice yield inverse (Buareal et al. 10.6084/m9.figshare.29135699)
1924,edo,0.7221,real_yield_inverse,figshare CC-BY 4.0 rice yield inverse (Buareal et al. 10.6084/m9.figshare.29135699)
1925,edo,0.6991,real_yield_inverse,figshare CC-BY 4.0 rice yield inverse (Buareal et al. 10.6084/m9.figshare.29135699)
1926,edo,0.7447,real_yield_inverse,figshare CC-BY 4.0 rice yield inverse (Buareal et al. 10.6084/m9.figshare.29135699)
1927,edo,0.6722,real_yield_inverse,figshare CC-BY 4.0 rice yield inverse (Buareal et al. 10.6084/m9.figshare.29135699)
1928,edo,0.7005,real_yield_inverse,figshare CC-BY 4.0 rice yield inverse (Buareal et al. 10.6084/m9.figshare.29135699)
1929,edo,0.6992,real_yield_inverse,figshare CC-BY 4.0 rice yield inverse (Buareal et al. 10.6084/m9.figshare.29135699)
1930,edo,0.6345,real_yield_inverse,figshare CC-BY 4.0 rice yield inverse (Buareal et al. 10.6084/m9.figshare.29135699)
1931,edo,0.7601,real_yield_inverse,figshare CC-BY 4.0 rice yield inverse (Buareal et al. 10.6084/m9.figshare.29135699)
1932,edo,0.6944,real_yield_inverse,figshare CC-BY 4.0 rice yield inverse (Buareal et al. 10.6084/m9.figshare.29135699)
1933,edo,0.5849,real_yield_inverse,figshare CC-BY 4.0 rice yield inverse (Buareal et al. 10.6084/m9.figshare.29135699)
1934,edo,0.7837,real_yield_inverse,figshare CC-BY 4.0 rice yield inverse (Buareal et al. 10.6084/m9.figshare.29135699)
1935,edo,0.7245,real_yield_inverse,figshare CC-BY 4.0 rice yield inverse (Buareal et al. 10.6084/m9.figshare.29135699)
1936,edo,0.6223,real_yield_inverse,figshare CC-BY 4.0 rice yield inverse (Buareal et al. 10.6084/m9.figshare.29135699)
1937,edo,0.6367,real_yield_inverse,figshare CC-BY 4.0 rice yield inverse (Buareal et al. 10.6084/m9.figshare.29135699)
1938,edo,0.6434,real_yield_inverse,figshare CC-BY 4.0 rice yield inverse (Buareal et al. 10.6084/m9.figshare.29135699)
1939,edo,0.6153,real_yield_inverse,figshare CC-BY 4.0 rice yield inverse (Buareal et al. 10.6084/m9.figshare.29135699)
1940,edo,0.6838,real_yield_inverse,figshare CC-BY 4.0 rice yield inverse (Buareal et al. 10.6084/m9.figshare.29135699)
1941,edo,0.7509,real_yield_inverse,figshare CC-BY 4.0 rice yield inverse (Buareal et al. 10.6084/m9.figshare.29135699)
1942,edo,0.6184,real_yield_inverse,figshare CC-BY 4.0 rice yield inverse (Buareal et al. 10.6084/m9.figshare.29135699)
1943,edo,0.6574,real_yield_inverse,figshare CC-BY 4.0 rice yield inverse (Buareal et al. 10.6084/m9.figshare.29135699)
1944,edo,0.6756,real_yield_inverse,figshare CC-BY 4.0 rice yield inverse (Buareal et al. 10.6084/m9.figshare.29135699)
1945,edo,0.9783,real_yield_inverse,figshare CC-BY 4.0 rice yield inverse (Buareal et al. 10.6084/m9.figshare.29135699)
1946,edo,0.6099,real_yield_inverse,figshare CC-BY 4.0 rice yield inverse (Buareal et al. 10.6084/m9.figshare.29135699)
1947,edo,0.6558,real_yield_inverse,figshare CC-BY 4.0 rice yield inverse (Buareal et al. 10.6084/m9.figshare.29135699)
1948,edo,0.6050,real_yield_inverse,figshare CC-BY 4.0 rice yield inverse (Buareal et al. 10.6084/m9.figshare.29135699)
1949,edo,0.6437,real_yield_inverse,figshare CC-BY 4.0 rice yield inverse (Buareal et al. 10.6084/m9.figshare.29135699)
1950,edo,0.6338,real_yield_inverse,figshare CC-BY 4.0 rice yield inverse (Buareal et al. 10.6084/m9.figshare.29135699)
1951,edo,0.6730,real_yield_inverse,figshare CC-BY 4.0 rice yield inverse (Buareal et al. 10.6084/m9.figshare.29135699)
1952,edo,0.6149,real_yield_inverse,figshare CC-BY 4.0 rice yield inverse (Buareal et al. 10.6084/m9.figshare.29135699)
1953,edo,0.7370,real_yield_inverse,figshare CC-BY 4.0 rice yield inverse (Buareal et al. 10.6084/m9.figshare.29135699)
1954,edo,0.6798,real_yield_inverse,figshare CC-BY 4.0 rice yield inverse (Buareal et al. 10.6084/m9.figshare.29135699)
1955,edo,0.5225,real_yield_inverse,figshare CC-BY 4.0 rice yield inverse (Buareal et al. 10.6084/m9.figshare.29135699)
1956,edo,0.5930,real_yield_inverse,figshare CC-BY 4.0 rice yield inverse (Buareal et al. 10.6084/m9.figshare.29135699)
1957,edo,0.5778,real_yield_inverse,figshare CC-BY 4.0 rice yield inverse (Buareal et al. 10.6084/m9.figshare.29135699)
1958,edo,0.5511,real_yield_inverse,figshare CC-BY 4.0 rice yield inverse (Buareal et al. 10.6084/m9.figshare.29135699)
1959,edo,0.5378,real_yield_inverse,figshare CC-BY 4.0 rice yield inverse (Buareal et al. 10.6084/m9.figshare.29135699)
1960,edo,0.5240,real_yield_inverse,figshare CC-BY 4.0 rice yield inverse (Buareal et al. 10.6084/m9.figshare.29135699)
1961,edo,0.5494,real_yield_inverse,figshare CC-BY 4.0 rice yield inverse (Buareal et al. 10.6084/m9.figshare.29135699)
1962,edo,0.5130,real_yield_inverse,figshare CC-BY 4.0 rice yield inverse (Buareal et al. 10.6084/m9.figshare.29135699)
1963,edo,0.5256,real_yield_inverse,figshare CC-BY 4.0 rice yield inverse (Buareal et al. 10.6084/m9.figshare.29135699)
1964,edo,0.5268,real_yield_inverse,figshare CC-BY 4.0 rice yield inverse (Buareal et al. 10.6084/m9.figshare.29135699)
1965,edo,0.5461,real_yield_inverse,figshare CC-BY 4.0 rice yield inverse (Buareal et al. 10.6084/m9.figshare.29135699)
1966,edo,0.5218,real_yield_inverse,figshare CC-BY 4.0 rice yield inverse (Buareal et al. 10.6084/m9.figshare.29135699)
1967,edo,0.4709,real_yield_inverse,figshare CC-BY 4.0 rice yield inverse (Buareal et al. 10.6084/m9.figshare.29135699)
1968,edo,0.4804,real_yield_inverse,figshare CC-BY 4.0 rice yield inverse (Buareal et al. 10.6084/m9.figshare.29135699)
1969,edo,0.4814,real_yield_inverse,figshare CC-BY 4.0 rice yield inverse (Buareal et al. 10.6084/m9.figshare.29135699)
1970,edo,0.4882,real_yield_inverse,figshare CC-BY 4.0 rice yield inverse (Buareal et al. 10.6084/m9.figshare.29135699)
