year,market,riceIndex,evidence,sourceNote
1603,edo,1.2101,inferred_sim_fill,sim ricePrice x overlapScale=1.0646 (until Kinsei/Edo quotes; not CC primary)
1604,edo,1.0497,inferred_sim_fill,sim ricePrice x overlapScale=1.0646 (until Kinsei/Edo quotes; not CC primary)
1605,edo,1.0101,inferred_sim_fill,sim ricePrice x overlapScale=1.0646 (until Kinsei/Edo quotes; not CC primary)
1606,edo,0.9724,inferred_sim_fill,sim ricePrice x overlapScale=1.0646 (until Kinsei/Edo quotes; not CC primary)
1607,edo,0.9574,inferred_sim_fill,sim ricePrice x overlapScale=1.0646 (until Kinsei/Edo quotes; not CC primary)
1608,edo,0.9009,inferred_sim_fill,sim ricePrice x overlapScale=1.0646 (until Kinsei/Edo quotes; not CC primary)
1609,edo,0.9535,inferred_sim_fill,sim ricePrice x overlapScale=1.0646 (until Kinsei/Edo quotes; not CC primary)
1610,edo,0.9806,inferred_sim_fill,sim ricePrice x overlapScale=1.0646 (until Kinsei/Edo quotes; not CC primary)
1611,edo,0.8627,inferred_sim_fill,sim ricePrice x overlapScale=1.0646 (until Kinsei/Edo quotes; not CC primary)
1612,edo,0.8306,inferred_sim_fill,sim ricePrice x overlapScale=1.0646 (until Kinsei/Edo quotes; not CC primary)
1613,edo,0.8205,inferred_sim_fill,sim ricePrice x overlapScale=1.0646 (until Kinsei/Edo quotes; not CC primary)
1614,edo,0.8074,inferred_sim_fill,sim ricePrice x overlapScale=1.0646 (until Kinsei/Edo quotes; not CC primary)
1615,edo,0.8675,inferred_sim_fill,sim ricePrice x overlapScale=1.0646 (until Kinsei/Edo quotes; not CC primary)
1616,edo,0.9425,inferred_sim_fill,sim ricePrice x overlapScale=1.0646 (until Kinsei/Edo quotes; not CC primary)
1617,edo,0.8004,inferred_sim_fill,sim ricePrice x overlapScale=1.0646 (until Kinsei/Edo quotes; not CC primary)
1618,edo,0.7755,inferred_sim_fill,sim ricePrice x overlapScale=1.0646 (until Kinsei/Edo quotes; not CC primary)
1619,edo,0.7682,inferred_sim_fill,sim ricePrice x overlapScale=1.0646 (until Kinsei/Edo quotes; not CC primary)
1620,edo,0.7806,inferred_sim_fill,sim ricePrice x overlapScale=1.0646 (until Kinsei/Edo quotes; not CC primary)
1621,edo,0.7879,inferred_sim_fill,sim ricePrice x overlapScale=1.0646 (until Kinsei/Edo quotes; not CC primary)
1622,edo,0.7723,inferred_sim_fill,sim ricePrice x overlapScale=1.0646 (until Kinsei/Edo quotes; not CC primary)
1623,edo,0.8073,inferred_sim_fill,sim ricePrice x overlapScale=1.0646 (until Kinsei/Edo quotes; not CC primary)
1624,edo,0.7527,inferred_sim_fill,sim ricePrice x overlapScale=1.0646 (until Kinsei/Edo quotes; not CC primary)
1625,edo,0.7331,inferred_sim_fill,sim ricePrice x overlapScale=1.0646 (until Kinsei/Edo quotes; not CC primary)
1626,edo,0.7282,inferred_sim_fill,sim ricePrice x overlapScale=1.0646 (until Kinsei/Edo quotes; not CC primary)
1627,edo,0.7453,inferred_sim_fill,sim ricePrice x overlapScale=1.0646 (until Kinsei/Edo quotes; not CC primary)
1628,edo,0.7190,inferred_sim_fill,sim ricePrice x overlapScale=1.0646 (until Kinsei/Edo quotes; not CC primary)
1629,edo,0.7709,inferred_sim_fill,sim ricePrice x overlapScale=1.0646 (until Kinsei/Edo quotes; not CC primary)
1630,edo,0.7302,inferred_sim_fill,sim ricePrice x overlapScale=1.0646 (until Kinsei/Edo quotes; not CC primary)
1631,edo,0.7070,inferred_sim_fill,sim ricePrice x overlapScale=1.0646 (until Kinsei/Edo quotes; not CC primary)
1632,edo,0.7031,inferred_sim_fill,sim ricePrice x overlapScale=1.0646 (until Kinsei/Edo quotes; not CC primary)
1633,edo,0.6996,inferred_sim_fill,sim ricePrice x overlapScale=1.0646 (until Kinsei/Edo quotes; not CC primary)
1634,edo,0.6962,inferred_sim_fill,sim ricePrice x overlapScale=1.0646 (until Kinsei/Edo quotes; not CC primary)
1635,edo,0.6929,inferred_sim_fill,sim ricePrice x overlapScale=1.0646 (until Kinsei/Edo quotes; not CC primary)
1636,edo,0.7104,inferred_sim_fill,sim ricePrice x overlapScale=1.0646 (until Kinsei/Edo quotes; not CC primary)
1637,edo,0.6865,inferred_sim_fill,sim ricePrice x overlapScale=1.0646 (until Kinsei/Edo quotes; not CC primary)
1638,edo,0.6837,inferred_sim_fill,sim ricePrice x overlapScale=1.0646 (until Kinsei/Edo quotes; not CC primary)
1639,edo,0.6866,inferred_sim_fill,sim ricePrice x overlapScale=1.0646 (until Kinsei/Edo quotes; not CC primary)
1640,edo,0.6780,inferred_sim_fill,sim ricePrice x overlapScale=1.0646 (until Kinsei/Edo quotes; not CC primary)
1641,edo,0.7733,inferred_sim_fill,sim ricePrice x overlapScale=1.0646 (until Kinsei/Edo quotes; not CC primary)
1642,edo,0.7295,inferred_sim_fill,sim ricePrice x overlapScale=1.0646 (until Kinsei/Edo quotes; not CC primary)
1643,edo,0.7235,inferred_sim_fill,sim ricePrice x overlapScale=1.0646 (until Kinsei/Edo quotes; not CC primary)
1644,edo,0.6772,inferred_sim_fill,sim ricePrice x overlapScale=1.0646 (until Kinsei/Edo quotes; not CC primary)
1645,edo,0.6716,inferred_sim_fill,sim ricePrice x overlapScale=1.0646 (until Kinsei/Edo quotes; not CC primary)
1646,edo,0.6691,inferred_sim_fill,sim ricePrice x overlapScale=1.0646 (until Kinsei/Edo quotes; not CC primary)
1647,edo,0.6987,inferred_sim_fill,sim ricePrice x overlapScale=1.0646 (until Kinsei/Edo quotes; not CC primary)
1648,edo,0.6830,inferred_sim_fill,sim ricePrice x overlapScale=1.0646 (until Kinsei/Edo quotes; not CC primary)
1649,edo,0.6619,inferred_sim_fill,sim ricePrice x overlapScale=1.0646 (until Kinsei/Edo quotes; not CC primary)
1650,edo,0.6597,inferred_sim_fill,sim ricePrice x overlapScale=1.0646 (until Kinsei/Edo quotes; not CC primary)
1651,edo,0.6798,inferred_sim_fill,sim ricePrice x overlapScale=1.0646 (until Kinsei/Edo quotes; not CC primary)
1652,edo,0.6923,inferred_sim_fill,sim ricePrice x overlapScale=1.0646 (until Kinsei/Edo quotes; not CC primary)
1653,edo,0.7091,inferred_sim_fill,sim ricePrice x overlapScale=1.0646 (until Kinsei/Edo quotes; not CC primary)
1654,edo,0.6514,inferred_sim_fill,sim ricePrice x overlapScale=1.0646 (until Kinsei/Edo quotes; not CC primary)
1655,edo,0.6495,inferred_sim_fill,sim ricePrice x overlapScale=1.0646 (until Kinsei/Edo quotes; not CC primary)
1656,edo,0.6475,inferred_sim_fill,sim ricePrice x overlapScale=1.0646 (until Kinsei/Edo quotes; not CC primary)
1657,edo,0.6650,inferred_sim_fill,sim ricePrice x overlapScale=1.0646 (until Kinsei/Edo quotes; not CC primary)
1658,edo,0.6667,inferred_sim_fill,sim ricePrice x overlapScale=1.0646 (until Kinsei/Edo quotes; not CC primary)
1659,edo,0.6419,inferred_sim_fill,sim ricePrice x overlapScale=1.0646 (until Kinsei/Edo quotes; not CC primary)
1660,edo,0.7014,inferred_sim_fill,sim ricePrice x overlapScale=1.0646 (until Kinsei/Edo quotes; not CC primary)
1661,edo,0.6384,inferred_sim_fill,sim ricePrice x overlapScale=1.0646 (until Kinsei/Edo quotes; not CC primary)
1662,edo,0.6706,inferred_sim_fill,sim ricePrice x overlapScale=1.0646 (until Kinsei/Edo quotes; not CC primary)
1663,edo,0.6360,inferred_sim_fill,sim ricePrice x overlapScale=1.0646 (until Kinsei/Edo quotes; not CC primary)
1664,edo,0.6343,inferred_sim_fill,sim ricePrice x overlapScale=1.0646 (until Kinsei/Edo quotes; not CC primary)
1665,edo,0.6832,inferred_sim_fill,sim ricePrice x overlapScale=1.0646 (until Kinsei/Edo quotes; not CC primary)
1666,edo,0.6519,inferred_sim_fill,sim ricePrice x overlapScale=1.0646 (until Kinsei/Edo quotes; not CC primary)
1667,edo,0.6476,inferred_sim_fill,sim ricePrice x overlapScale=1.0646 (until Kinsei/Edo quotes; not CC primary)
1668,edo,0.6640,inferred_sim_fill,sim ricePrice x overlapScale=1.0646 (until Kinsei/Edo quotes; not CC primary)
1669,edo,0.6258,inferred_sim_fill,sim ricePrice x overlapScale=1.0646 (until Kinsei/Edo quotes; not CC primary)
1670,edo,0.6242,inferred_sim_fill,sim ricePrice x overlapScale=1.0646 (until Kinsei/Edo quotes; not CC primary)
1671,edo,0.7615,inferred_sim_fill,sim ricePrice x overlapScale=1.0646 (until Kinsei/Edo quotes; not CC primary)
1672,edo,0.6722,inferred_sim_fill,sim ricePrice x overlapScale=1.0646 (until Kinsei/Edo quotes; not CC primary)
1673,edo,0.6201,inferred_sim_fill,sim ricePrice x overlapScale=1.0646 (until Kinsei/Edo quotes; not CC primary)
1674,edo,0.6363,inferred_sim_fill,sim ricePrice x overlapScale=1.0646 (until Kinsei/Edo quotes; not CC primary)
